ID	oldPatchID	patchType	distance_m	xcor	ycor	size_sqm	quantityPollen_g	Concentration	quantityNectar_l	calc_DetectProb	model_DetectProb	NectarGathering_s	PollenGathering_s	startDay	stopDay	ETOX_ApplicationList_patch	ETOX_ExposurePeriodsList_patch	ETOX_PPPConcNectar_patch	ETOX_PPPConcPollen_patch	ETOX_PPPContact_patch	ETOX_WaterVolume_patch	ETOX_WaterConc_patch	ETOX_RUD_patch
0	0	"YellowField"	3775	-3437.5	2062.5	321289	803.222	1.5	160.644	0.0005	0.00007	1200	600	121	179	[]	[]	990	26631	0.3	10000	0	21
1	1	"YellowField"	4004.5	-3156.25	2562.5	2930	7.325	1.5	1.465	0.00004	0.00005	1200	600	121	179	[]	[]	990	26631	0.3	10000	0	21
2	2	"BlueField"	2378.7	-468.75	2562.5	115234	230.468	1.5	14.404	0.00209	0.00194	1200	600	30	302	[]	[]	990	26631	0.3	10000	0	21
3	3	"YellowField"	3103	1812.5	2468.75	79102	197.755	1.5	39.551	0.00062	0.00177	1200	600	121	179	[]	[]	990	26631	0.3	10000	0	21
4	4	"RedField"	3597.1	-3125	1906.25	19531	195.31	2	2.441	0.00016	0.00034	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
5	5	"YellowField"	3731.5	-3906.25	1843.75	250977	627.442	1.5	125.488	0.00047	0	1200	600	121	179	[]	[]	990	26631	0.3	10000	0	21
6	6	"YellowField"	3481.7	-3437.5	1531.25	67383	168.457	1.5	33.691	0.00034	0.00025	1200	600	121	179	[]	[]	990	26631	0.3	10000	0	21
7	7	"RedField"	2170.7	-1343.75	2000	56641	566.41	2	7.08	0.002	0.00231	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
8	8	"BlueField"	2919.8	-2343.75	1968.75	34180	68.36	1.5	4.272	0.00052	0.00152	1200	600	30	302	[]	[]	990	26631	0.3	10000	0	21
9	9	"RedField"	2420.8	-1625	1812.5	41992	419.92	2	5.249	0.00119	0.00226	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
10	10	"RedField"	1554	-968.75	1687.5	153320	1533.2	2	19.165	0.00874	0.00989	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
11	11	"BlueField"	2590	-1843.75	1812.5	977	1.954	1.5	0.122	0.00014	0.00042	1200	600	30	302	[]	[]	990	26631	0.3	10000	0	21
12	12	"RedField"	3331.9	3281.25	1343.75	139648	1396.48	2	17.456	0.0006	0.00138	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
13	13	"YellowField"	3258.7	-3218.75	1406.25	147461	368.652	1.5	73.73	0.00068	0.00172	1200	600	121	179	[]	[]	990	26631	0.3	10000	0	21
14	14	"YellowField"	3853.4	-3718.75	1375	35156	87.89	1.5	17.578	0.00015	0.0001	1200	600	121	179	[]	[]	990	26631	0.3	10000	0	21
15	15	"RedField"	1567.5	-750	1312.5	1953	19.53	2	0.244	0.00097	0.00229	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
16	16	"RedField"	4133.8	-4156.25	1031.25	29297	292.97	2	3.662	0.0001	0.00012	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
17	17	"RedField"	1312.9	-187.5	1250	5859	58.59	2	0.732	0.00262	0.00713	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
18	18	"RedField"	3935.5	3562.5	1281.25	1953	19.53	2	0.244	0.00003	0.00007	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
19	19	"YellowField"	932.3	-500	968.75	137695	344.237	1.5	68.847	0.02633	0.0473	1200	600	121	179	[]	[]	990	26631	0.3	10000	0	21
20	20	"YellowField"	4369	-4937.5	750	210938	527.345	1.5	105.469	0.00019	0.00005	1200	600	121	179	[]	[]	990	26631	0.3	10000	0	21
21	21	"YellowField"	783.7	-125	718.75	14648	36.62	1.5	7.324	0.01211	0.0227	1200	600	121	179	[]	[]	990	26631	0.3	10000	0	21
22	22	"RedField"	375	156.25	281.25	180664	1806.64	2	22.583	0.12199	0.25325	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
23	23	"RedField"	2933.2	-3062.5	656.25	17578	175.78	2	2.197	0.00037	0.0015	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
24	24	"BlueField"	4542	4343.75	687.5	977	1.954	1.5	0.122	0.00001	0.0001	1200	600	30	302	[]	[]	990	26631	0.3	10000	0	21
25	25	"YellowField"	927.6	-656.25	656.25	1953	4.882	1.5	0.976	0.00322	0.02206	1200	600	121	179	[]	[]	990	26631	0.3	10000	0	21
26	26	"RedField"	724.8	-250	593.75	5859	58.59	2	0.732	0.00883	0.035	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
27	27	"RedField"	781.9	-156.25	656.25	977	9.77	2	0.122	0.00315	0.01067	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
28	28	"BlueField"	783.7	-62.5	656.25	977	1.954	1.5	0.122	0.00314	0.02155	1200	600	30	302	[]	[]	990	26631	0.3	10000	0	21
29	29	"RedField"	3828	-4031.25	250	74219	742.19	2	9.277	0.00023	0.0001	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
30	30	"RedField"	31.3	-437.5	-156.25	278320	2783.2	2	34.79	0.45151	1	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
31	31	"RedField"	197.6	531.25	31.25	100586	1005.86	2	12.573	0.19021	0.2717	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
32	32	"BlueField"	3380.2	-3687.5	62.5	138672	277.344	1.5	17.334	0.00056	0.00076	1200	600	30	302	[]	[]	990	26631	0.3	10000	0	21
33	33	"RedField"	69.9	-312.5	-656.25	126953	1269.53	2	15.869	0.36554	0.43764	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
34	34	"RedField"	786.9	656.25	-281.25	13672	136.72	2	1.709	0.01162	0.0409	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
35	35	"RedField"	3973.2	-4125	-343.75	18555	185.55	2	2.319	0.00009	0	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
36	36	"YellowField"	244.1	-343.75	-312.5	6836	17.09	1.5	3.418	0.04647	0.16574	1200	600	121	179	[]	[]	990	26631	0.3	10000	0	21
37	37	"RedField"	504.9	375	-406.25	35156	351.56	2	4.395	0.03862	0.08475	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
38	38	"BlueField"	4064.4	3968.75	-250	1953	3.906	1.5	0.244	0.00003	0.00007	1200	600	30	302	[]	[]	990	26631	0.3	10000	0	21
39	39	"BlueField"	4110.3	4125	-750	177734	355.468	1.5	22.217	0.00024	0.00012	1200	600	30	302	[]	[]	990	26631	0.3	10000	0	21
40	40	"YellowField"	225.3	0	-437.5	64453	161.132	1.5	32.226	0.14217	0.20485	1200	600	121	179	[]	[]	990	26631	0.3	10000	0	21
41	41	"BlueField"	3237.1	-3906.25	-656.25	354492	708.984	1.5	44.311	0.00109	0.00039	1200	600	30	302	[]	[]	990	26631	0.3	10000	0	21
42	42	"BlueField"	537.6	312.5	-437.5	977	1.954	1.5	0.122	0.00592	0.03665	1200	600	30	302	[]	[]	990	26631	0.3	10000	0	21
43	43	"RedField"	1403.8	1218.75	-531.25	25391	253.91	2	3.174	0.00464	0.00952	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
44	44	"RedField"	620.3	-781.25	-875	183594	1835.94	2	22.949	0.06153	0.12993	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
45	45	"BlueField"	1027.9	843.75	-468.75	977	1.954	1.5	0.122	0.00185	0.00694	1200	600	30	302	[]	[]	990	26631	0.3	10000	0	21
46	46	"BlueField"	2935.7	-3312.5	-562.5	138672	277.344	1.5	17.334	0.00103	0.00184	1200	600	30	302	[]	[]	990	26631	0.3	10000	0	21
47	47	"BlueField"	1149	937.5	-562.5	977	1.954	1.5	0.122	0.00146	0.00283	1200	600	30	302	[]	[]	990	26631	0.3	10000	0	21
48	48	"RedField"	1076.2	-1093.75	-687.5	64453	644.53	2	8.057	0.01355	0.04383	1200	600	100	248	[121]	[58]	990	26631	0.3	10000	0	21
